# Sample Nifty daily candles for backtesting.
# Format: date,open,high,low,close,volume
# Lines starting with '#' are ignored.
2024-01-01,21750.5,21780.2,21740.1,21770.8,120000
2024-01-02,21770.0,21810.5,21750.0,21800.3,135000
2024-01-03,21800.0,21850.0,21780.0,21820.5,142000
2024-01-04,21820.0,21860.0,21800.0,21845.2,138000
2024-01-05,21845.0,21900.0,21830.0,21880.6,150000
2024-01-08,21880.0,21920.0,21850.0,21860.4,145000
2024-01-09,21860.0,21875.0,21810.0,21820.1,158000
2024-01-10,21820.0,21830.0,21750.0,21770.0,172000
2024-01-11,21770.0,21785.0,21700.0,21715.5,180000
2024-01-12,21715.0,21740.0,21680.0,21695.0,165000
2024-01-15,21695.0,21730.0,21660.0,21680.2,155000
2024-01-16,21680.0,21720.0,21650.0,21705.8,148000
2024-01-17,21705.0,21760.0,21690.0,21745.3,152000
2024-01-18,21745.0,21810.0,21730.0,21800.0,160000
2024-01-19,21800.0,21860.0,21790.0,21845.5,168000
2024-01-22,21845.0,21900.0,21830.0,21885.2,175000
2024-01-23,21885.0,21940.0,21870.0,21925.0,182000
2024-01-24,21925.0,21980.0,21910.0,21965.5,190000
2024-01-25,21965.0,22020.0,21945.0,22005.0,198000
2024-01-29,22005.0,22060.0,21985.0,22045.0,205000
2024-01-30,22045.0,22090.0,22020.0,22070.3,212000
2024-01-31,22070.0,22110.0,22045.0,22095.5,220000
2024-02-01,22095.0,22140.0,22070.0,22120.0,228000
2024-02-02,22120.0,22170.0,22100.0,22155.3,235000
2024-02-05,22155.0,22200.0,22130.0,22180.0,242000
2024-02-06,22180.0,22220.0,22150.0,22190.5,238000
2024-02-07,22190.0,22210.0,22120.0,22140.0,245000
2024-02-08,22140.0,22160.0,22080.0,22100.3,252000
2024-02-09,22100.0,22130.0,22050.0,22075.5,248000
2024-02-12,22075.0,22090.0,22020.0,22050.0,255000
2024-02-13,22050.0,22070.0,21990.0,22015.2,262000
2024-02-14,22015.0,22030.0,21950.0,21980.0,268000
2024-02-15,21980.0,22010.0,21930.0,21955.5,275000
2024-02-16,21955.0,21975.0,21900.0,21925.0,282000
2024-02-19,21925.0,21945.0,21870.0,21895.0,278000
2024-02-20,21895.0,21920.0,21850.0,21880.3,285000
2024-02-21,21880.0,21910.0,21830.0,21850.0,290000
2024-02-22,21850.0,21895.0,21820.0,21875.5,285000
2024-02-23,21875.0,21930.0,21860.0,21910.0,280000
2024-02-26,21910.0,21970.0,21890.0,21945.3,288000
2024-02-27,21945.0,22000.0,21925.0,21980.0,295000
2024-02-28,21980.0,22030.0,21960.0,22015.5,302000
2024-02-29,22015.0,22070.0,21995.0,22050.0,308000
2024-03-01,22050.0,22110.0,22030.0,22085.2,315000
2024-03-04,22085.0,22150.0,22065.0,22125.0,322000
2024-03-05,22125.0,22180.0,22105.0,22160.5,328000
2024-03-06,22160.0,22220.0,22140.0,22195.0,335000
2024-03-07,22195.0,22260.0,22175.0,22230.3,342000
2024-03-08,22230.0,22290.0,22210.0,22265.0,348000
2024-03-11,22265.0,22320.0,22245.0,22300.5,355000
2024-03-12,22300.0,22360.0,22280.0,22335.0,362000
2024-03-13,22335.0,22390.0,22315.0,22370.3,368000
2024-03-14,22370.0,22420.0,22350.0,22405.0,375000
2024-03-15,22405.0,22460.0,22385.0,22440.5,382000
2024-03-18,22440.0,22490.0,22420.0,22465.0,388000
2024-03-19,22465.0,22510.0,22445.0,22490.3,395000
2024-03-20,22490.0,22540.0,22470.0,22520.0,402000
2024-03-21,22520.0,22570.0,22500.0,22545.5,408000
2024-03-22,22545.0,22590.0,22525.0,22570.0,415000
2024-03-25,22570.0,22620.0,22550.0,22600.3,422000
2024-03-26,22600.0,22650.0,22580.0,22625.0,428000
